_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;confianca
AC;TOTAIS;total;138.0;263.0;32.0;27.0;42.0;84.0;78.0;media
AC;ACRE;mesorregiao;138.0;263.0;32.0;27.0;42.0;84.0;78.0;media
AC;ALTO JURUA;microrregiao;15.0;21.0;;;;;;media
AC;CRUZEIRO DO SUL;municipio;10.0;13.0;;;;;;media
AC;FEIJO;municipio;;;;;;;;media
AC;MANCIO LIMA;municipio;;;;;;;;media
AC;TARAUACA;municipio;;;;;;;;media
AC;ALTO PURUS;microrregiao;123.0;242.0;25.0;25.0;38.0;78.0;76.0;media
AC;ASSIS BRASIL;municipio;;;;;;;;media
AC;BRASILEIA;municipio;10.0;13.0;;;;;;media
AC;MANOEL URBANO;municipio;;;;;;;;media
AC;PLACIDO DE CASTRO;municipio;;;;;;;;media
AC;SENADOR GUIOMARD;municipio;36.0;59.0;16.0;16.0;13.0;11.0;;media
AC;SENA MADUREIRA;municipio;;16.0;;;;;;media
AC;XAPURI;municipio;10.0;19.0;;;;;10.0;media
AC;TOTAIS;total;67.0;101.0;12.0;52.0;61.0;;;media
AC;ACRE;mesorregiao;67.0;101.0;12.0;52.0;61.0;;;media
AC;ALTO JURUA;microrregiao;;;;;;;;media
AC;CRUZEIRO DO SUL;municipio;;;;;;;;media
AC;FEI JO;municipio;;;;;;;;media
AC;ALTO PURUS;microrregiao;65.0;99.0;11.0;48.0;56.0;;;media
AC;BRASILEIA;municipio;;;;;;;;media
AC;PLACIOO OE CASTRO;municipio;;13.0;;;;;;media
AC;SENADOR GUIOMARO;municipio;;;;;15.0;;;media
AC;SENA MADUREIRA;municipio;;;;;;;;media
AC;XAPURI;municipio;14.0;18.0;;;;;;media
AL;TOTAIS;total;1820.0;3711.0;303.0;355.0;629.0;1709.0;715.0;baixa
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;754.0;1047.0;150.0;139.0;224.0;395.0;139.0;baixa
AL;SERTÃO ALAGOANO;microrregiao;66.0;85.0;14.0;17.0;18.0;27.0;;baixa
AL;AGUA BRANCA;municipio;11.0;;;;;;;baixa
AL;CANAPI;municipio;21.0;25.0;;;;;;baixa
AL;DELMIRO GOUVEIA;municipio;11.0;22.0;;;;10.0;;baixa
AL;INHAPI;municipio;;;;;;;;baixa
AL;MATA GRANDE;municipio;;;;;;;;baixa
