_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;confianca
AC;TOTAIS;total;1936.0;1143.0;23.0;;;alta
AC;ACRE;mesorregiao;1936.0;1143.0;23.0;;;alta
AC;ALTO JURUA;microrregiao;269.0;940.0;;;;alta
AC;CRUZEIRO DO SUL;municipio;108.0;630.0;;;;alta
AC;FEIJO;municipio;83.0;2100.0;;;;alta
AC;MANCIO LIMA;municipio;16.0;;;;;alta
AC;TARAUACA;municipio;59.0;;;;;alta
AC;ALTO PURUS;microrregiao;1667.0;1049.0;13.0;;;alta
AC;ASSIS BRASIL;municipio;;;;;;alta
AC;BRASILEIA;municipio;65.0;;;;;alta
AC;MANOEL URBANO;municipio;14.0;;;;;alta
AC;PLACIOO DE CASTRO;municipio;174.0;5300.0;;;;alta
AC;SENADOR GUIOMARD;municipio;492.0;38800.0;;;;alta
AC;SENA MADUREIRA;municipio;60.0;120.0;;;;alta
AC;XAPURI;municipio;75.0;140.0;;;;alta
AL;TOTAIS;total;9874.0;8303.0;135.0;115.0;;baixa
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;3005.0;2117.0;121.0;106.0;;baixa
AL;SERTÃO ALAGOANO;mesorregiao;430.0;1490.0;;;;baixa
AL;AGUA BRANCA;microrregiao;102.0;410.0;;;;baixa
AL;CANAPI;microrregiao;81.0;19.0;;;;baixa
AL;OELMIRO GOUVEIA;microrregiao;13.0;;;;;baixa
AL;INHAPI;microrregiao;56.0;25.0;;;;baixa
AL;MATA GRANDE;microrregiao;155.0;53.0;;;;baixa
AL;OLHO O' AGUA DO CASADO;microrregiao;;;;;;baixa
AL;PIRANHAS;microrregiao;12.0;;;;;baixa
AL;BATALHA;mesorregiao;504.0;145.0;;;;baixa
AL;BATALHA;microrregiao;;;;;;baixa
AL;BELO MONTE;microrregiao;12.0;;;;;baixa
AL;CA-NEIROS;microrregiao;;;;;;baixa
AL;DOIS RIACHOS;microrregiao;21.0;;;;;baixa
AL;JACARE DOS HOMENS;microrregiao;;;;;;baixa
AL;JARAMATAIA;microrregiao;3.0;3.0;;;;baixa
AL;MAJOR IS I CORO;microrregiao;;;;;;baixa
AL;MARAVILHA;microrregiao;65.0;23.0;;;;baixa
AL;MONTEIROPOLIS;microrregiao;3.0;;;;;baixa
AL;OLIVENÇA;microrregiao;21.0;;;;;baixa
AL;-O BRANCO;microrregiao;;;;;;baixa
